plot_id,case_id,question,expected_type,expected_answer,condition,round_id,llm_name,temperature,effective_temperature,max_output_tokens,effective_max_output_tokens,reasoning_effort,effective_reasoning_effort,usage_input_tokens,usage_input_cached_tokens,usage_output_tokens,usage_reasoning_tokens,usage_total_tokens,crop_tool_available,crop_tool_call_count,llm_answer,llm_answer_is_correct,response_id,response_status,latency_ms,error
1,1,What is the number of the bin (if numbered from left to right starting with 1) for which the highest value is achieved in category C12?,integer,11,plot_only,1,gpt-4.1,0.2,0.2,128,128,low,default,535,0,7,0,542,false,0,7,false,resp_0daf068092aea3d20169c6be3e67e081a2b8c6f34cbed35dcd,completed,1305.88,
1,1,What is the number of the bin (if numbered from left to right starting with 1) for which the highest value is achieved in category C12?,integer,11,plot_only,1,gpt-4.1,0.2,0.2,128,128,low,default,696,0,12,0,708,true,0,7,false,resp_0a0d13c98b436ab80169c6be3e7858819fb7e7935ed4834592,completed,1425.91,
1,1,What is the number of the bin (if numbered from left to right starting with 1) for which the highest value is achieved in category C12?,integer,11,plot_only,1,gpt-5.4-mini,0.2,,128,256,low,low,812,0,384,384,1196,false,0,,,resp_0a96df5b79c8a4630169c6be4017f881a1b3a1fff101040be5,incomplete,4357.55,"Response did not contain output_text. status=incomplete, incomplete_details={""reason"": ""max_output_tokens""}, output_types=['reasoning']"
1,1,What is the number of the bin (if numbered from left to right starting with 1) for which the highest value is achieved in category C12?,integer,11,plot_only,1,gpt-5.4-mini,0.2,,128,256,low,low,2119,0,542,486,2661,true,1,,,resp_0526fb78deacef5d0169c6be41e1f8819e8641725c743d059c,incomplete,6184.43,"Response did not contain output_text. status=incomplete, incomplete_details={""reason"": ""max_output_tokens""}, output_types=['reasoning']"
1,1,What is the number of the bin (if numbered from left to right starting with 1) for which the highest value is achieved in category C12?,integer,11,plot_only,2,gpt-4.1,0.2,0.2,128,128,low,default,535,0,7,0,542,false,0,7,false,resp_0ffef9a90bf7c0b20169c6be3e61f081a19667f5b146d5b83b,completed,1312.34,
1,1,What is the number of the bin (if numbered from left to right starting with 1) for which the highest value is achieved in category C12?,integer,11,plot_only,2,gpt-4.1,0.2,0.2,128,128,low,default,696,0,12,0,708,true,0,7,false,resp_0f7983fe5e678a120169c6be3e66308193b1cf3cf686685ff7,completed,3041.52,
1,1,What is the number of the bin (if numbered from left to right starting with 1) for which the highest value is achieved in category C12?,integer,11,plot_only,2,gpt-5.4-mini,0.2,,128,256,low,low,812,0,384,384,1196,false,0,,,resp_06bb139276aa115f0169c6be4002e88191b5416e3fdbf5cd50,incomplete,4313.34,"Response did not contain output_text. status=incomplete, incomplete_details={""reason"": ""max_output_tokens""}, output_types=['reasoning']"
1,1,What is the number of the bin (if numbered from left to right starting with 1) for which the highest value is achieved in category C12?,integer,11,plot_only,2,gpt-5.4-mini,0.2,,128,256,low,low,1150,0,384,384,1534,true,0,,,resp_0c64f8daf0ffbb6a0169c6be400bd8819d96511d1dc54b2060,incomplete,4168.02,"Response did not contain output_text. status=incomplete, incomplete_details={""reason"": ""max_output_tokens""}, output_types=['reasoning']"
1,1,What is the number of the bin (if numbered from left to right starting with 1) for which the highest value is achieved in category C12?,integer,11,plot_only,3,gpt-4.1,0.2,0.2,128,128,low,default,535,0,7,0,542,false,0,7,false,resp_0675592c095d3e9e0169c6be3fc8d081909cb978cc10447114,completed,3393.0,
1,1,What is the number of the bin (if numbered from left to right starting with 1) for which the highest value is achieved in category C12?,integer,11,plot_only,3,gpt-4.1,0.2,0.2,128,128,low,default,696,0,12,0,708,true,0,7,false,resp_012faf31daf7f0580169c6be3fbea881928e29de9e48a818f8,completed,1320.56,
1,1,What is the number of the bin (if numbered from left to right starting with 1) for which the highest value is achieved in category C12?,integer,11,plot_only,3,gpt-5.4-mini,0.2,,128,256,low,low,812,0,384,384,1196,false,0,,,resp_0b1192d3e0533b620169c6be4173848190b3e271d23d6d8eac,incomplete,3882.62,"Response did not contain output_text. status=incomplete, incomplete_details={""reason"": ""max_output_tokens""}, output_types=['reasoning']"
1,1,What is the number of the bin (if numbered from left to right starting with 1) for which the highest value is achieved in category C12?,integer,11,plot_only,3,gpt-5.4-mini,0.2,,128,256,low,low,3425,0,568,498,3993,true,2,,,resp_0b8d590ea72d52380169c6be4511e8819d8844c63f893fb73e,incomplete,6372.12,"Response did not contain output_text. status=incomplete, incomplete_details={""reason"": ""max_output_tokens""}, output_types=['reasoning']"
1,1,What is the number of the bin (if numbered from left to right starting with 1) for which the highest value is achieved in category C12?,integer,11,plot_only,4,gpt-4.1,0.2,0.2,128,128,low,default,535,0,6,0,541,false,0,7,false,resp_0b3991bad05b065f0169c6be4172f8819ebb9e8fb2a4ac9487,completed,1257.29,
